IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
79,1,,,-121.9331898,47.5260679,2025-12-11 22:55:37.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-104.000000,,,,,,,NR SA,,,,,,,,,,,,,,,,
80,1,,,-121.9331898,47.5260679,2025-12-11 22:55:38.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-108.970000,,,,,,,NR SA,,,,,,,,,,,,,,,,
81,1,,,-121.9331898,47.5260679,2025-12-11 22:55:39.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-109.700000,,,,,,,NR SA,,,,,,,,,,,,,,,,
82,1,,,-121.9331898,47.5260679,2025-12-11 22:55:40.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-108.860000,,,,,,,NR SA,,,,,,,,,,,,,,,,
83,1,,,-121.9331898,47.5260679,2025-12-11 22:55:41.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-109.980000,,,,,,,NR SA,,,,,,,,,,,,,,,,
84,1,,,-121.9331898,47.5260679,2025-12-11 22:55:42.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-110.770000,,,,,,,NR SA,,,,,,,,,,,,,,,,
85,1,,,-121.9331898,47.5260679,2025-12-11 22:55:43.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-111.380000,,,,,,,NR SA,,,,,,,,,,,,,,,,
86,1,,,-121.9331898,47.5260679,2025-12-11 22:55:44.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-111.310000,,,,,,,NR SA,,,,,,,,,,,,,,,,
87,1,,,-121.9331898,47.5260679,2025-12-11 22:55:45.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-111.280000,,,,,,,NR SA,,,,,,,,,,,,,,,,
88,1,,,-121.9331898,47.5260679,2025-12-11 22:55:46.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-114.000000,,,,,,,NR SA,,,,,,,,,,,,,,,,
89,1,,,-121.9331898,47.5260679,2025-12-11 22:55:47.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-113.050000,,,,,,,NR SA,,,,,,,,,,,,,,,,
90,1,,,-121.9331898,47.5260679,2025-12-11 22:55:48.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-109.950000,,,,,,,NR SA,,,,,,,,,,,,,,,,
91,1,,,-121.9331898,47.5260679,2025-12-11 22:55:49.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-110.620000,,,,,,,NR SA,,,,,,,,,,,,,,,,
92,1,,,-121.9331898,47.5260679,2025-12-11 22:55:50.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-108.700000,,,,,,,NR SA,,,,,,,,,,,,,,,,
93,1,,,-121.9331898,47.5260679,2025-12-11 22:55:51.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-107.770000,,,,,,,NR SA,,,,,,,,,,,,,,,,
94,1,,,-121.9331898,47.5260679,2025-12-11 22:55:52.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-100.590000,,,,,,,NR SA,,,,,,,,,,,,,,,,
95,1,,,-121.9331898,47.5260679,2025-12-11 22:55:53.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-98.080000,,,,,,,NR SA,,,,,,,,,,,,,,,,
96,1,,,-121.9331898,47.5260679,2025-12-11 22:55:54.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-98.210000,,,,,,,NR SA,,,,,,,,,,,,,,,,
97,1,,,-121.9331898,47.5260679,2025-12-11 22:55:55.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-104.150000,,,,,,,NR SA,,,,,,,,,,,,,,,,
98,1,,,-121.9331898,47.5260679,2025-12-11 22:55:56.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-108.900000,,,,,,,NR SA,,,,,,,,,,,,,,,,
99,1,,,-121.9331898,47.5260679,2025-12-11 22:55:57.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-104.770000,,,,,,,NR SA,,,,,,,,,,,,,,,,
100,1,,,-121.9331898,47.5260679,2025-12-11 22:55:58.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-99.670000,,,,,,,NR SA,,,,,,,,,,,,,,,,
101,1,,,-121.9331898,47.5260679,2025-12-11 22:55:59.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-98.230000,,,,,,,NR SA,,,,,,,,,,,,,,,,
