IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
85,1,,,-121.9331898,47.5260679,2025-12-11 23:08:31.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
86,1,,,-121.9331898,47.5260679,2025-12-11 23:08:32.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
87,1,,,-121.9331898,47.5260679,2025-12-11 23:08:33.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
88,1,,,-121.9331898,47.5260679,2025-12-11 23:08:34.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
89,1,,,-121.9331898,47.5260679,2025-12-11 23:08:35.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
90,1,,,-121.9331898,47.5260679,2025-12-11 23:08:36.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
91,1,,,-121.9331898,47.5260679,2025-12-11 23:08:37.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
92,1,,,-121.9331898,47.5260679,2025-12-11 23:08:38.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
93,1,,,-121.9331898,47.5260679,2025-12-11 23:08:39.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
94,1,,,-121.9331898,47.5260679,2025-12-11 23:08:40.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
95,1,,,-121.9331898,47.5260679,2025-12-11 23:08:41.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
96,1,,,-121.9331898,47.5260679,2025-12-11 23:08:42.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
97,1,,,-121.9331898,47.5260679,2025-12-11 23:08:43.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
98,1,,,-121.9331898,47.5260679,2025-12-11 23:08:44.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,,594,,,
99,1,,,-121.9331898,47.5260679,2025-12-11 23:08:45.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
100,1,,,-121.9331898,47.5260679,2025-12-11 23:08:46.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,,594,,,
101,1,,,-121.9331898,47.5260679,2025-12-11 23:08:47.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
102,1,,,-121.9331898,47.5260679,2025-12-11 23:08:48.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
103,1,,,-121.9331898,47.5260679,2025-12-11 23:08:49.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
104,1,,,-121.9331898,47.5260679,2025-12-11 23:08:50.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
105,1,,,-121.9331898,47.5260679,2025-12-11 23:08:51.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
