[General] Serving Network,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP
NR SA,,,,3.415,
NR SA,,,,3.732,
NR SA,,,,4.681,
NR SA,,,,3.568,
NR SA,,,,2.935,
NR SA,,,,3.405,
NR SA,,,,4.528,
NR SA,,,,5.041,
NR SA,,,,1.266,
,BYE,,,,
NR SA,,,,4.179,
,,200 OK,BYE,,
NR SA,,,,4.343,
NR SA,,,,3.764,
NR SA,,,,4.028,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,3.162,
NR SA,,,,3.426,
NR SA,,,,5.816,
NR SA,,,,3.295,
NR SA,,,,6.798,
NR SA,,,,6.039,
NR SA,,,,3.583,
NR SA,,,,6.656,
NR SA,,,,4.867,
NR SA,,,,8.642,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,0.904,
NR SA,,,,1.462,
NR SA,,,,1.899,
NR SA,,,,2.270,
NR SA,,,,2.684,
NR SA,,,,3.121,
NR SA,,,,3.776,
NR SA,,,,3.972,
NR SA,,,,4.408,
NR SA,,,,3.601,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
,INVITE,,,,
NR SA,,,,,
,,100 Trying,,,
,,180 Ringing,,,
NR SA,,,,,
,,200 OK,INVITE,,
,ACK,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,1.807,
NR SA,,,,3.681,
NR SA,,,,2.499,
NR SA,,,,3.252,
NR SA,,,,3.634,
NR SA,,,,3.034,
NR SA,,,,4.878,
NR SA,,,,5.860,
NR SA,,,,3.950,
NR SA,,,,3.852,
NR SA,,,,4.328,
NR SA,,,,3.943,
NR SA,,,,3.405,
NR SA,,,,0.458,
NR SA,,,,4.016,
NR SA,,,,3.107,
NR SA,,,,1.759,
NR SA,,,,1.931,
NR SA,,,,2.390,
