[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,,,,,,,,,,,,Download File Size Retrieved,,,,,,,,,
,,,,,,,,,,,,,,Download Started,,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.430000,12.240000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.110000,12.490000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.100000,12.740000,,,,,,,,122.660,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.210000,12.410000,,,,,,,,273.389,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.520000,12.840000,,,,,,,,292.346,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.600000,12.820000,,,,,,,,290.998,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.270000,13.020000,,,,,,,,134.905,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.860000,13.320000,,,,,,,,7.071,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.110000,12.940000,,,,,,,,76.591,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.180000,12.740000,,,,,,,,292.313,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.430000,12.870000,,,,,,,,295.932,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.250000,12.530000,,,,,,,,289.052,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.270000,12.150000,,,,,,,,227.533,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.460000,12.050000,,,,,,,,0.589,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.450000,11.380000,,,,,,,,19.412,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.300000,12.430000,,,,,,,,30.499,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.100000,11.300000,,,,,,,,0.131,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.630000,9.980000,,,,,,,,6.263,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.590000,9.960000,,,,,,,,13.007,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.750000,10.360000,,,,,,,,31.405,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.400000,10.660000,,,,,,,,30.772,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.560000,10.470000,,,,,,,,35.911,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.670000,11.180000,,,,,,,,34.056,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.650000,10.310000,,,,,,,,36.926,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.700000,10.100000,,,,,,,,32.954,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.110000,10.750000,,,,,,,,29.277,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.140000,11.760000,,,,,,,,31.984,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.570000,12.560000,,,,,,,,37.177,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.700000,13.850000,,,,,,,,35.139,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-95.730000,13.460000,,,,,,,,38.971,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.550000,11.700000,,,,,,,,34.254,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-95.070000,12.340000,,,,,,,,39.541,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-95.890000,9.890000,,,,,,,,40.484,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-97.240000,11.450000,,,,,,,,40.494,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-97.270000,12.980000,,,,,,,,45.187,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-97.910000,13.730000,,,,,,,,47.921,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.630000,15.320000,,,,,,,,58.831,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-95.830000,12.100000,,,,,,,,64.643,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.680000,15.550000,,,,,,,,75.085,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-95.480000,12.560000,,,,,,,,78.970,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-96.530000,12.650000,,,,,,,,95.502,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-96.170000,12.670000,,,,,,,,102.824,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-97.060000,13.630000,,,,,,,,92.256,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-97.990000,12.230000,,,,,,,,69.830,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-98.220000,12.360000,,,,,,,,73.427,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-97.060000,11.520000,,,,,,,,77.192,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-97.930000,11.630000,,,,,,,,78.969,,,,,,,,
