Device,MO DUT,MT DUT,MO REF,MT REF
425,-72.0,-69.0,-69.0,-64.0
426,-72.0,-69.0,-69.0,-66.0
427,-72.0,-69.0,-69.0,-66.0
428,-72.0,-69.0,-69.0,-66.0
429,-72.0,-69.0,-69.0,-66.0
430,-72.0,-69.0,-69.0,-66.0
431,-72.0,-69.0,-69.0,-66.0
432,-72.0,-69.0,-69.0,-65.0
433,-73.0,-69.0,-69.0,-65.0
434,-72.5,-69.0,-69.0,-65.0
435,-72.0,-69.0,-69.0,-65.0
436,-72.0,-69.0,-69.0,-65.0
437,-73.0,-69.0,-69.0,-65.0
438,-73.0,-69.0,-69.0,-66.0
439,-72.0,-69.0,-69.0,-66.0
440,-72.0,-69.0,-69.0,-66.0
441,-72.0,-69.0,-69.0,-65.0
442,-73.0,-69.0,-69.0,-65.0
443,-73.0,-69.0,-69.0,-65.0
444,-73.0,-69.0,-69.0,-67.0
445,-73.0,-69.0,-69.0,-67.0
446,-73.0,-69.0,-69.0,-67.0
447,-74.0,-69.0,-69.0,-68.0
448,-74.0,-69.0,-69.0,-68.0
449,-74.0,-69.0,-69.0,-68.0
450,-74.0,-69.0,-69.0,-67.0
451,-74.0,-68.0,-69.0,-67.0
452,-73.5,-68.0,-69.0,-67.0
453,-73.0,-68.0,-69.0,-66.0
454,-73.0,-69.0,-69.0,-66.0
455,-73.0,-69.0,-69.0,-66.0
456,-73.0,-69.0,-69.0,-65.0
457,-73.0,-68.0,-69.0,-65.0
458,-73.0,-68.0,-69.0,-65.0
459,-73.0,-68.0,-69.0,-66.0
460,-73.0,-69.0,-69.0,-66.0
461,-73.0,-69.0,-69.0,-66.0
462,-73.0,-69.0,-69.0,-65.0
463,-73.0,-69.0,-69.0,-65.0
464,-73.0,-69.0,-69.0,-65.0
465,-73.0,-69.0,-69.0,-66.0
466,-73.0,-69.0,-69.0,-66.0
467,-73.0,-69.0,-69.5,-66.0
468,-73.0,-69.0,-70.0,-66.0
469,-73.0,-69.0,-70.0,-66.0
470,-73.0,-69.0,-70.0,-66.0
471,-73.0,-69.0,-71.0,-66.0
472,-73.0,-69.0,-71.0,-66.0
473,-73.0,-69.0,-71.0,-66.0
474,-73.0,-69.0,-71.0,-67.0
475,-73.0,-69.0,-71.0,-67.0
476,-73.0,-69.0,-71.0,-67.0
477,-73.0,-69.0,-71.0,-68.0
478,-73.0,-69.0,-71.0,-68.0
479,-73.0,-69.0,-71.0,-68.0
480,-73.0,-69.0,-71.0,-69.0
481,-73.0,-69.0,-67.0,-69.0
482,-73.0,-69.0,-67.0,-69.0
483,-73.0,-69.0,-67.0,-69.0
484,-73.0,-69.0,-67.0,-69.0
485,-74.0,-69.0,-67.0,-69.0
486,-74.0,-69.0,-68.5,-69.0
487,-74.0,-69.0,-70.0,-69.0
488,-73.0,-69.0,-69.5,-69.0
489,-73.0,-69.0,-69.0,-69.0
490,-73.0,-69.0,-68.0,-69.0
491,-72.0,-69.0,-68.0,-69.0
492,-72.0,-69.0,-67.0,-69.0
493,-72.0,-69.0,-67.0,-69.0
494,-72.0,-69.0,-67.0,-69.0
495,-72.0,-69.0,-67.0,-69.0
496,-72.0,-69.0,-67.0,-69.0
497,-72.0,-69.0,-67.0,-69.0
498,-72.0,-69.0,-66.0,-69.0
499,-72.0,-69.0,-66.5,-69.0
500,-72.0,-69.0,-67.0,-69.0
501,-72.0,-69.0,-68.0,-69.0
502,-72.0,-69.0,-69.0,-69.0
503,-72.0,-69.0,-67.5,-69.0
504,-72.0,-69.0,-66.0,-68.0
505,-72.0,-69.0,-67.0,-68.0
506,-72.0,-69.0,-67.0,-68.0
507,-72.0,-69.0,-67.0,-68.0
508,-72.0,-69.0,-67.0,-68.0
509,-71.0,-69.0,-67.0,-67.0
510,-71.0,-69.0,-67.0,-67.0
511,-71.0,-69.0,-67.0,-67.0
512,-73.0,-69.0,-67.0,-65.0
513,-73.0,-69.0,-67.0,-65.0
514,-73.0,-69.0,-67.0,-65.5
515,-72.0,-69.0,-67.0,-66.0
516,-72.0,-69.0,-67.0,-66.0
517,-72.0,-69.0,-67.0,-65.0
518,-71.0,-69.0,-67.0,-65.0
519,-71.0,-69.0,-67.0,-65.0
520,-71.0,-69.0,-67.0,-65.0
521,-71.0,-69.0,-67.0,-65.0
522,-71.0,-69.0,-67.0,-65.0
523,-71.0,-69.0,-67.0,-65.0
524,-70.0,-69.0,-67.0,-65.0
525,-70.0,-69.0,-67.0,-65.0
526,-70.0,-69.0,-67.0,-65.0
527,-70.0,-69.0,-67.0,-65.0
528,-70.0,-69.0,-67.0,-65.0
529,-70.0,-69.0,-67.0,-66.0
530,-70.0,-69.0,-67.0,-66.0
531,-70.0,-70.0,-67.0,-66.0
532,-70.0,-70.0,-67.0,-67.0
533,-71.0,-70.0,-67.0,-67.0
534,-71.0,-70.0,-67.0,-67.0
535,-71.0,-70.0,-67.0,-66.0
536,-71.0,-70.0,-67.0,-66.0
537,-71.0,-70.0,-67.0,-66.0
538,-71.0,-70.0,-67.0,-65.0
539,-71.0,-70.0,-67.0,-65.0
540,-71.0,-70.0,-67.0,-65.0
541,-71.0,-70.0,-67.0,-65.0
542,-71.0,-70.0,-67.0,-65.0
543,-73.0,-69.0,-67.0,-65.0
544,-73.0,-69.0,-67.0,-64.0
545,-73.0,-69.0,-67.0,-64.0
546,-74.0,-69.0,-67.0,-64.0
547,-74.0,-69.0,-68.0,-65.0
548,-74.0,-69.0,-69.0,-65.0
549,-74.0,-69.0,-70.0,-65.0
550,-74.0,-69.0,-70.0,-65.0
551,-74.0,-69.0,-70.0,-65.0
552,-74.0,-69.0,-70.0,-65.0
553,-74.0,-69.0,-70.0,-64.0
554,-74.0,-69.0,-69.0,-64.0
555,-74.0,-69.0,-68.0,-64.0
556,-74.0,-69.0,-68.0,-64.0
557,-74.0,-69.0,-68.0,-64.0
558,-74.0,-69.0,-68.0,-64.0
559,-74.0,-69.0,-68.0,-66.0
560,-74.0,-69.0,-71.0,-66.0
561,-74.0,-69.0,-71.0,-66.0
562,-73.0,-69.0,-71.0,-66.0
563,-73.0,-68.0,-70.5,-66.0
564,-73.0,-68.0,-70.0,-66.0
565,-74.0,-68.0,-70.0,-66.0
566,-74.0,-69.0,-70.0,-66.0
567,-74.0,-68.5,-70.5,-66.0
568,-74.0,-68.0,-71.0,-65.0
569,-74.0,-68.0,-67.0,-65.0
570,-74.0,-68.0,-67.0,-65.0
571,-74.0,-68.0,-67.0,-65.0
572,-74.0,-68.0,-67.0,-65.0
573,-74.0,-68.0,-69.0,-65.0
574,-74.0,-68.0,-69.0,-65.0
575,-74.0,-68.0,-69.0,-65.0
576,-73.0,-68.0,-69.0,-65.0
577,-73.0,-69.0,-68.0,-65.0
578,-73.0,-69.0,-67.5,-65.0
579,-73.0,-69.0,-67.0,-65.0
580,-73.0,-69.0,-67.0,-66.0
581,-73.0,-69.0,-67.0,-66.0
582,-73.0,-69.0,-67.0,-66.0
583,-73.0,-69.0,-67.0,-65.0
584,-74.0,-69.0,-67.0,-65.0
585,-74.0,-69.0,-67.0,-65.0
586,-73.0,-69.0,-67.0,-66.0
587,-73.0,-69.5,-67.0,-66.0
588,-73.0,-70.0,-67.0,-66.0
589,-73.5,-70.0,-67.0,-67.0
590,-74.0,-70.0,-67.0,-67.0
591,-73.0,-70.0,-67.0,-67.0
592,-73.0,-70.0,-67.0,-67.0
593,-73.0,-70.0,-67.0,-67.0
594,-73.0,-70.0,-67.0,-67.0
595,-73.0,-70.0,-67.0,-68.0
596,-73.0,-70.0,-67.0,-68.0
597,-73.0,-70.0,-67.0,-68.0
598,-73.0,-70.0,-67.0,-69.0
599,-73.0,-70.0,-67.0,-69.0
600,-73.0,-70.0,-67.0,-69.0
601,-73.0,-70.0,-67.0,-68.0
602,-72.0,-70.0,-67.0,-68.0
