[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,,,,,
,,,,,,,,,
,,,,,,186,,,
,,,,,,,,,
,,,,,,186,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,186,,,
,,,,,,,,,
,,,,,,186,,,
,,,,,,,,,
,,,,,,,,,
LTE 3CA,-76.310000,32,,,,,,,
LTE 3CA,-76.280000,32,,,,,,,
LTE 3CA,-76.290000,32,,,,,,,
LTE 3CA,-76.030000,32,,,,,,,
LTE 3CA,-76.290000,32,,,,,,,
LTE 3CA,-76.650000,32,,,,,,,
LTE 3CA,-76.800000,32,,,,,,,
LTE 3CA,-76.720000,32,,,,,,,
LTE 3CA,-76.870000,32,,,,,,,
LTE 3CA,-77.760000,32,,,,,,,
LTE 3CA,-76.370000,32,,,,,,,
LTE 3CA,-76.410000,32,,,,,,,
LTE 3CA,-76.250000,32,,,,,,,
LTE 3CA,-76.420000,32,,,,,,,
,,,,,,,,3.693745,0.326552
LTE 3CA,-76.590000,32,,,,,,,
LTE 3CA,-76.420000,32,,,,,,,
LTE 3CA,-76.370000,32,,,,,,,
LTE 3CA,-76.400000,32,,,,,,,
LTE 3CA,-76.850000,32,,,,,,,
LTE 3CA,-76.970000,32,,,,,,,
LTE 3CA,-75.920000,32,,,,,,,
LTE 3CA,-76.680000,32,,,,,,,
LTE 3CA,-76.870000,32,,,,,,,
LTE 3CA,-76.680000,32,,,,,,,
LTE 3CA,-76.990000,32,,,,,,,
LTE 3CA,-77.190000,32,,,,,,,
LTE 3CA,-77.320000,32,,,,,,,
LTE 3CA,-77.010000,32,,,,,,,
LTE 3CA,-77.030000,32,,,,,,,
,,,,,,,,3.889910,0.321263
LTE 3CA,-76.720000,32,,,,,,,
LTE 3CA,-76.510000,32,,,,,,,
LTE 3CA,-75.640000,32,,,,,,,
LTE 3CA,-76.010000,32,,,,,,,
LTE 3CA,-76.120000,32,,,,,,,
LTE 3CA,-75.770000,32,,,,,,,
LTE 3CA,-75.980000,32,,,,,,,
LTE 3CA,-76.170000,32,,,,,,,
LTE 3CA,-76.330000,32,,,,,,,
LTE 3CA,-75.700000,32,,,,,,,
LTE 3CA,-76.980000,32,,,,,,,
LTE 3CA,-76.830000,32,,,,,,,
LTE 3CA,-76.610000,32,,,,,,,
,,,,,,,,3.887065,0.329499
LTE 3CA,-76.290000,32,,,,,,,
LTE 3CA,-76.060000,32,,,,,,,
LTE 3CA,-76.340000,32,,,,,,,
LTE 3CA,-75.660000,32,,,,,,,
LTE 3CA,-76.140000,32,,,,,,,
LTE 3CA,-76.340000,32,,,,,,,
LTE 3CA,-76.670000,32,,,,,,,
LTE 3CA,-76.110000,32,,,,,,,
LTE 3CA,-76.190000,32,,,,,,,
LTE 3CA,-76.300000,32,,,,,,,
LTE 3CA,-76.150000,32,,,,,,,
LTE 3CA,-75.800000,32,,,,,,,
LTE 3CA,-76.230000,32,,,,,,,
LTE 3CA,-76.950000,32,,,,,,,
,,,,,,,,4.001820,0.329704
LTE 3CA,-76.270000,32,,,,,,,
LTE 3CA,-76.450000,32,,,,,,,
LTE 3CA,-76.000000,32,,,,,,,
LTE 3CA,-76.430000,32,,,,,,,
LTE 3CA,-75.920000,32,,,,,,,
LTE 3CA,-75.850000,32,,,,,,,
LTE 3CA,-76.710000,32,,,,,,,
LTE 3CA,-76.400000,32,,,,,,,
LTE 3CA,-76.380000,32,,,,,,,
LTE 3CA,-75.700000,32,,,,,,,
LTE 3CA,-75.900000,32,,,,,,,
LTE 3CA,-75.130000,32,,,,,,,
LTE 3CA,-74.690000,32,,,,,,,
LTE 3CA,-76.300000,32,,,,,,,
,,,,,,,,3.881777,0.330863
LTE 3CA,-77.090000,32,,,,,,,
LTE 3CA,-76.610000,32,,,,,,,
LTE 3CA,-75.570000,32,,,,,,,
LTE 3CA,-75.210000,32,,,,,,,
LTE 3CA,-75.480000,32,,,,,,,
LTE 3CA,-75.190000,32,,,,,,,
LTE 3CA,-75.600000,32,,,,,,,
LTE 3CA,-75.120000,32,,,,,,,
LTE 3CA,-75.310000,32,,,,,,,
