Device,MO DUT,MT DUT,MO REF,MT REF
545,-55.0,-63.0,,-55.0
546,-55.0,-63.0,,-55.0
547,-54.0,-63.0,,-56.0
548,-54.0,-64.0,,-56.0
549,-55.0,-64.0,,-56.0
550,-55.0,-64.0,,-55.0
551,-55.0,-63.0,,-55.0
552,-55.0,-63.0,,-55.0
553,-55.0,-63.0,,-56.0
554,,-64.0,,-56.0
555,,-64.0,,-56.0
556,,-64.0,,-55.0
557,,-64.0,,-55.0
558,,-64.0,,-55.0
559,,-64.0,,-56.0
560,,-64.0,,-56.0
561,,-64.0,,-56.0
562,,-64.0,,-56.0
563,,,,-56.0
564,,,,-56.0
565,,,,-57.0
566,,,,-57.0
567,,,,-57.0
568,,,,-56.0
569,,,,-56.0
570,,,,-56.0
571,,,,-57.0
572,,,,-57.0
